countType,count,recentRound,recentDate,no1,no2,no3,no4
2,10,1203,20251220,6,35,,
2,10,1140,20241005,7,10,,
2,10,1210,20260207,7,17,,
2,10,1172,20250517,7,42,,
2,10,1150,20241214,8,18,,
2,10,1212,20260221,8,25,,
2,10,1217,20260328,8,29,,
2,10,1212,20260221,8,44,,
2,10,1153,20250104,9,10,,
2,10,1153,20250104,9,13,,
2,10,1193,20251011,9,19,,
2,10,1176,20250614,9,30,,
2,10,1189,20250913,9,37,,
2,10,1159,20250215,9,39,,
2,10,1217,20260328,10,15,,
2,10,1214,20260307,10,27,,
2,10,1192,20251004,10,40,,
2,10,1181,20250719,10,41,,
2,10,1001,20220205,10,42,,
2,10,1153,20250104,10,44,,
2,10,1041,20221112,11,18,,
2,10,1129,20240720,11,28,,
2,10,1222,20260502,11,32,,
2,10,1213,20260228,11,36,,
2,10,1118,20240504,11,45,,
2,10,1119,20240511,12,13,,
2,10,1180,20250712,12,18,,
2,10,1202,20251213,12,21,,
2,10,1115,20240413,12,23,,
2,10,1139,20240928,12,30,,
2,10,1050,20230114,12,38,,
2,10,1133,20240817,13,20,,
2,10,1215,20260314,13,21,,
2,10,1187,20250830,13,26,,
2,10,1221,20260425,13,30,,
2,10,1184,20250809,14,25,,
2,10,1107,20240217,14,30,,
2,10,1181,20250719,14,33,,
2,10,1138,20240921,14,34,,
2,10,1184,20250809,14,37,,
2,10,1174,20250531,14,39,,
2,10,1042,20221119,14,43,,
2,10,1214,20260307,15,27,,
2,10,1149,20241207,15,32,,
2,10,1196,20251101,15,40,,
2,10,1155,20250118,16,27,,
2,10,1138,20240921,16,34,,
2,10,1146,20241116,17,19,,
2,10,1185,20250816,17,28,,
2,10,1129,20240720,17,34,,
2,10,1210,20260207,17,38,,
2,10,1085,20230916,17,44,,
2,10,1092,20231104,18,26,,
2,10,1221,20260425,18,28,,
2,10,1223,20260509,18,32,,
2,10,1130,20240727,19,25,,
2,10,1149,20241207,19,32,,
2,10,1132,20240810,19,41,,
2,10,1217,20260328,20,31,,
2,10,1223,20260509,20,32,,
2,10,1112,20240323,20,36,,
2,10,1162,20250308,21,22,,
2,10,1158,20250208,21,38,,
2,10,1088,20231007,21,39,,
2,10,1205,20260103,23,31,,
2,10,1211,20260214,23,35,,
2,10,1192,20251004,23,39,,
2,10,1161,20250301,24,34,,
2,10,1201,20251206,24,36,,
2,10,1207,20260117,24,38,,
2,10,1179,20250705,24,40,,
2,10,1098,20231216,24,41,,
2,10,1213,20260228,25,27,,
2,10,1184,20250809,25,37,,
2,10,1120,20240518,26,31,,
2,10,1211,20260214,26,40,,
2,10,1206,20260110,26,42,,
2,10,1197,20251108,26,43,,
2,10,1178,20250628,27,43,,
2,10,1218,20260404,28,31,,
2,10,1204,20251227,28,44,,
2,10,1196,20251101,29,40,,
2,10,1103,20240120,29,44,,
2,10,1221,20260425,30,36,,
2,10,1156,20250125,30,45,,
2,10,1156,20250125,31,34,,
2,10,1184,20250809,31,37,,
2,10,1167,20250412,31,39,,
2,10,1218,20260404,31,45,,
2,10,1223,20260509,32,33,,
2,10,1223,20260509,32,39,,
2,10,1195,20251025,33,34,,
2,10,1170,20250503,34,38,,
2,10,1087,20230930,34,44,,
2,10,1156,20250125,34,45,,
2,10,1209,20260131,35,39,,
2,10,1213,20260228,36,38,,
2,10,1198,20251115,38,41,,
2,10,1192,20251004,39,40,,
2,10,1156,20250125,41,45,,
2,10,1178,20250628,43,44,,
2,9,1210,20260207,1,7,,
2,9,1191,20250927,1,11,,
2,9,1210,20260207,1,27,,
2,9,1197,20251108,1,43,,
2,9,1200,20251129,2,4,,
2,9,1209,20260131,2,20,,
2,9,1161,20250301,2,24,,
2,9,1151,20241221,2,29,,
2,9,1142,20241019,2,41,,
2,9,1171,20250510,3,11,,
2,9,1206,20260110,3,26,,
2,9,1218,20260404,3,28,,
2,9,1124,20240615,3,30,,
2,9,1218,20260404,3,31,,
2,9,1194,20251018,3,37,,
2,9,1110,20240309,3,41,,
2,9,1179,20250705,3,44,,
2,9,938,20201121,4,10,,
2,9,1055,20230218,4,14,,
2,9,1222,20260502,4,17,,
2,9,1205,20260103,4,23,,
2,9,1079,20230805,4,24,,
2,9,950,20210213,4,28,,
2,9,1126,20240629,4,37,,
2,9,1154,20250111,4,38,,
2,9,1019,20220611,4,39,,
2,9,1175,20250607,4,42,,
2,9,1197,20251108,5,7,,
2,9,1129,20240720,5,17,,
2,9,1213,20260228,5,38,,
2,9,1169,20250426,5,42,,
2,9,1197,20251108,5,43,,
2,9,1176,20250614,7,21,,
2,9,1176,20250614,7,30,,
2,9,1147,20241123,7,37,,
2,9,1160,20250222,7,39,,
2,9,1217,20260328,8,15,,
2,9,1079,20230805,8,24,,
2,9,1204,20251227,8,30,,
2,9,1175,20250607,8,42,,
2,9,1077,20230722,8,43,,
2,9,1176,20250614,9,11,,
2,9,1035,20221001,9,14,,
2,9,1217,20260328,10,20,,
2,9,1216,20260321,10,24,,
2,9,1217,20260328,10,29,,
2,9,1129,20240720,10,34,,
2,9,1093,20231111,10,43,,
2,9,1174,20250531,11,14,,
2,9,1146,20241116,11,19,,
2,9,1191,20250927,11,20,,
2,9,1147,20241123,11,24,,
2,9,1176,20250614,11,30,,
2,9,1147,20241123,11,37,,
2,9,1022,20220702,11,42,,
2,9,1157,20250201,12,25,,
2,9,1133,20240817,13,14,,
2,9,1182,20250726,13,25,,
2,9,1113,20240330,13,32,,
2,9,1166,20250405,14,29,,
2,9,1184,20250809,14,31,,
2,9,1097,20231209,14,35,,
2,9,1166,20250405,14,42,,
2,9,1219,20260411,15,28,,
2,9,1195,20251025,15,36,,
2,9,1215,20260314,15,44,,
2,9,1112,20240323,16,26,,
2,9,1138,20240921,16,29,,
2,9,1223,20260509,16,32,,
2,9,1086,20230923,16,35,,
2,9,1192,20251004,16,40,,
2,9,1205,20260103,16,41,,
2,9,1118,20240504,16,45,,
2,9,1222,20260502,17,22,,
2,9,1030,20220827,17,24,,
2,9,1164,20250322,17,25,,
2,9,1124,20240615,17,30,,
2,9,1124,20240615,17,33,,
2,9,1209,20260131,17,35,,
2,9,1069,20230527,18,22,,
2,9,1203,20251220,18,29,,
2,9,1180,20250712,18,41,,
2,9,1089,20231014,18,43,,
2,9,1149,20241207,19,36,,
2,9,1189,20250913,19,38,,
2,9,1146,20241116,19,40,,
2,9,1215,20260314,19,44,,
2,9,1173,20250524,20,30,,
2,9,1223,20260509,20,39,,
2,9,1161,20250301,20,42,,
2,9,1162,20250308,21,29,,
2,9,1182,20250726,21,31,,
2,9,1136,20240907,21,42,,
2,9,1215,20260314,21,45,,
2,9,1154,20250111,22,26,,
2,9,1102,20240113,22,37,,
2,9,1211,20260214,23,27,,
2,9,1211,20260214,23,38,,
2,9,1080,20230812,23,44,,
2,9,1190,20250920,23,45,,
2,9,1030,20220827,24,29,,
2,9,1199,20251122,24,31,,
2,9,1199,20251122,24,32,,
2,9,1194,20251018,24,37,,
2,9,1166,20250405,25,29,,
2,9,1199,20251122,25,32,,
2,9,1198,20251115,26,30,,
2,9,1211,20260214,26,35,,
2,9,1159,20250215,27,28,,
2,9,1214,20260307,27,33,,
2,9,1211,20260214,27,40,,
2,9,1178,20250628,27,44,,
2,9,1166,20250405,29,42,,
2,9,1199,20251122,30,32,,
2,9,1168,20250419,30,37,,
2,9,1152,20241228,31,36,,
2,9,1218,20260404,32,45,,
2,9,1223,20260509,33,39,,
2,9,1198,20251115,33,41,,
2,9,1163,20250315,33,43,,
